Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-03-02,104259.5,107220.0,103779.3,106625.4,885826300
2020-03-03,106630.3,108803.6,104404.8,105537.1,938558100
2020-03-04,105540.3,107808.9,105042.1,107224.2,841051400
2020-03-05,107216.6,107216.6,100536.1,102233.2,859863300
2020-03-06,102230.5,102230.5,96885.8,97996.8,1186414300
2020-03-09,97982.1,97982.1,85879.6,86067.2,1464536100
2020-03-10,86071.0,92230.3,86071.0,92214.5,1353168300
2020-03-11,92202.1,92202.1,80795.5,85171.1,1178688500
2020-03-12,85103.2,85103.2,68488.3,72582.5,1200844600
2020-03-13,72621.5,83757.5,72621.5,82677.9,1576616800
2020-03-16,82564.9,82564.9,70854.8,71168.1,1284780600
2020-03-17,71177.6,77254.6,70782.5,74617.2,1494591400
2020-03-18,74576.4,74576.4,63546.7,66894.9,1675153700
2020-03-19,66882.8,70071.3,61690.5,68331.8,1614469400
2020-03-20,68344.4,72247.4,66120.1,67069.4,1515241000
2020-03-23,67067.0,67603.8,62161.4,63569.6,1196224400
2020-03-24,63604.4,71535.4,63604.4,69729.3,1167994400
2020-03-25,69727.1,76713.9,69359.6,74955.6,1295110200
2020-03-26,74956.0,78846.3,74923.3,77709.7,1275770500
2020-03-27,77707.9,77707.9,73057.1,73428.8,1030111200
2020-03-30,73430.6,75429.7,73184.2,74639.5,903216300
2020-03-31,74629.4,75511.0,72385.1,73019.8,1114146900
2020-04-01,73010.8,73010.8,69568.6,70966.7,1009346000
2020-04-02,70968.5,73861.0,70956.8,72253.5,1054015400
2020-04-03,72241.1,72241.1,67802.5,69537.6,1041130600
2020-04-06,69555.6,75259.7,69555.6,74073.0,968537500
2020-04-07,74078.0,79855.5,74078.0,76358.1,1128650600
2020-04-08,76334.8,79058.1,76115.2,78624.6,1020633000
2020-04-09,78639.7,80427.6,77456.9,77681.9,1074870400
2020-04-13,77681.9,78835.82,76405.4,78835.8,765129300
2020-04-14,78847.7,81667.8,78847.7,79918.4,859360600
2020-04-15,79911.3,80034.8,77545.7,78831.5,975843300
2020-04-16,78836.7,80167.2,77452.4,77811.9,902839900
2020-04-17,77817.5,79846.4,77754.5,78990.3,831776000
2020-04-20,78988.6,80106.0,76942.9,78972.8,887470500
2020-04-22,78972.8,81183.7,78972.8,80687.2,984891300
2020-04-23,80690.4,81933.5,78621.9,79673.3,1082345300
2020-04-24,79666.6,79666.6,72040.8,75330.6,1652916200
2020-04-27,75334.3,78562.7,75326.6,78238.6,1065686100
2020-04-28,78243.3,81427.3,78243.3,81312.2,1293896900
2020-04-29,81312.9,83598.0,81312.9,83170.8,1171965600
2020-04-30,83169.3,83169.3,80168.1,80505.9,1180457100
2020-05-04,80501.2,80501.6,77640.2,78876.2,878533000
2020-05-05,78887.1,81065.9,78886.3,79470.8,915469700
2020-05-06,79472.8,79996.0,78055.8,79063.7,977585600
2020-05-07,79072.3,80061.2,78061.4,78118.6,1380874800
2020-05-08,78151.9,80556.6,78151.9,80263.4,1073436000
2020-05-11,80263.4,80722.8,78993.8,79064.6,978194700
2020-05-12,79064.6,80344.0,77871.95,77872.0,1024541200
2020-05-13,77876.9,78911.3,77152.0,77772.2,1157586500
2020-05-14,77770.5,79010.81,75697.0,79010.8,1381889000
2020-05-15,79010.6,79538.2,77426.1,77556.6,1171821300
2020-05-18,77575.7,81420.4,77571.4,81194.3,1153313600
2020-05-19,81196.7,82174.5,80647.0,80742.4,1074012000
2020-05-20,80746.8,82290.5,80739.6,81319.5,952284600
2020-05-21,81319.7,83309.0,81317.1,83027.1,1139521000
2020-05-22,83027.1,83027.1,81668.8,82173.2,928120300
2020-05-25,82197.8,85875.6,82193.3,85663.5,876442600
2020-05-26,85667.5,87332.5,85395.7,85468.9,1203081600
2020-05-27,85467.5,87946.3,85467.5,87946.3,1121200300
2020-05-28,87946.1,88090.7,86766.9,86949.1,1011697900
2020-05-29,86951.3,87410.0,85384.3,87402.6,1655091000
2020-06-01,87395.1,89019.4,86836.6,88620.1,984941800
2020-06-02,88622.5,91046.5,88622.5,91046.4,1182731600
2020-06-03,91048.1,93710.0,91048.1,93002.1,1513794000
2020-06-04,92992.6,94132.3,92220.8,93828.6,1148797600
2020-06-05,93839.2,97355.8,93838.6,94637.1,1332021600
2020-06-08,94640.4,97693.5,94635.2,97644.7,1109652000
2020-06-09,97644.3,97644.3,95385.8,96746.6,1127880500
2020-06-10,96747.3,97645.9,94664.8,94686.0,1173963300
2020-06-12,94677.1,94703.3,90811.0,92795.3,1278555900
2020-06-15,92780.4,93111.6,90147.9,92375.5,1331749400
2020-06-16,92386.7,95215.6,92386.7,93531.2,1203420600
2020-06-17,93531.2,96611.4,93531.2,95547.3,1113470800
2020-06-18,95547.2,97109.5,94697.5,96125.2,1000848200
2020-06-19,96137.9,97540.3,95874.3,96572.1,1313438800
2020-06-22,96572.2,96870.4,94868.8,95336.0,826467300
2020-06-23,95343.5,97485.6,95343.5,95975.2,975269500
2020-06-24,95973.8,95973.8,93259.1,94377.4,996270600
2020-06-25,94382.0,96259.7,94151.8,95983.1,869793800
2020-06-26,95979.0,95979.0,93513.7,93834.5,843907600
2020-06-29,93836.9,95735.4,93825.3,95735.4,890677200
2020-06-30,95727.6,96257.3,94806.5,95055.8,1014449300
2020-07-01,95061.6,96851.8,95061.6,96203.2,1016334900
2020-07-02,96205.6,97864.2,96051.9,96235.0,1006290700
2020-07-03,96237.0,96764.9,95803.3,96764.9,535155700
2020-07-06,96775.7,99256.9,96767.6,98937.2,948936900
2020-07-07,98937.4,98938.0,97272.0,97761.0,895140900
2020-07-08,97765.0,99972.8,97765.0,99769.9,914274100
2020-07-09,99770.3,100191.2,98860.8,99160.3,946808200
2020-07-10,99160.2,100101.0,98738.7,100031.8,914723400
2020-07-13,100027.4,100857.7,98697.06,98697.1,1038225800
2020-07-14,98698.9,100632.1,98288.8,100440.2,1001943800
2020-07-15,100444.3,102113.5,100444.3,101790.5,928557600
2020-07-16,101791.0,101792.3,100160.2,100553.3,812706600
2020-07-17,100554.1,103016.6,100554.1,102888.3,1042935800
2020-07-20,102887.6,104438.6,102744.3,104426.4,893178000
2020-07-21,104426.5,105449.2,103732.3,104309.7,1110578900
2020-07-22,104311.6,104980.0,103277.0,104289.6,1083368900
2020-07-23,104291.2,104949.4,102118.5,102293.3,1036661800
2020-07-24,102291.8,102693.7,100858.8,102381.6,979518400
2020-07-27,102380.9,104584.5,102380.5,104477.1,962213100
2020-07-28,104477.1,104662.8,103591.8,104109.1,908712800
2020-07-29,104111.8,105703.6,104111.8,105605.2,923828700
2020-07-30,105605.2,105606.8,103919.9,105008.7,959169700
2020-07-31,105010.0,105462.1,102642.0,102912.2,1292927600
2020-08-03,102912.9,103863.3,102304.3,102830.0,1090096800
2020-08-04,102825.5,103011.5,100004.5,101215.9,1202981800
2020-08-05,101220.0,103762.7,101220.0,102801.8,1092206400
2020-08-06,102794.8,104523.3,102794.8,104125.6,968659700
2020-08-07,104116.0,104126.3,101956.5,102775.5,1033709400
2020-08-10,102776.0,103722.5,101282.1,103444.5,825946200
2020-08-11,103448.8,104408.9,102174.3,102174.4,936082500
2020-08-12,102175.9,103116.1,100697.8,102117.8,1011417200
2020-08-13,102118.3,103236.9,100187.1,100460.6,1072127200
2020-08-14,100469.4,101717.4,100444.8,101353.5,857634800
2020-08-17,101348.1,101689.0,98513.4,99595.4,1081620900
2020-08-18,99597.0,102247.3,99597.0,102065.4,941865100
2020-08-19,102072.2,102333.8,100800.4,100853.7,1002583700
2020-08-20,100852.9,101749.1,99131.4,101467.9,940496700
2020-08-21,101459.5,101565.8,100412.5,101521.3,910017300
