Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-01-04,43348.91,43348.91,42125.02,42141.04,305036992
2016-01-05,42139.23,42533.62,42137.26,42419.32,257959808
2016-01-06,42409.95,42409.95,41589.97,41773.14,405751104
2016-01-07,41772.16,41772.16,40694.72,40694.72,415697600
2016-01-08,40695.04,41217.8,40463.49,40612.21,332115712
2016-01-11,40612.09,40973.62,39924.22,39950.49,318185984
2016-01-12,39954.86,40261.32,39425.97,39513.83,348842816
2016-01-13,39518.39,40050.31,38822.29,38944.44,367996000
2016-01-14,38944.2,39501.93,38458.69,39500.11,398820800
2016-01-15,39493.86,39493.86,37986.07,38569.13,420250496
2016-01-18,38572.28,38633.09,37937.27,37937.27,222794304
2016-01-19,37941.23,38856.51,37941.23,38057.02,313914688
2016-01-20,38056.02,38056.02,37046.07,37645.48,408081696
2016-01-21,37647.04,38079.18,37494.82,37717.11,389030208
2016-01-22,37736.93,38443.8,37736.93,38031.22,432728992
2016-01-26,38031.22,38031.22,37112.35,37497.48,371859392
2016-01-27,37500.79,38765.6,37402.09,38376.37,479243296
2016-01-28,38376.37,39099.82,37996.09,38630.19,460268192
2016-01-29,38634.71,40405.99,38634.71,40405.99,564502528
2016-02-01,40396.52,40570.04,39738.09,40570.04,377492704
2016-02-02,40563.78,40563.78,38596.17,38596.17,456214496
2016-02-03,38596.53,39725.69,38596.53,39588.82,436910496
2016-02-04,39589.18,41444.2,39589.18,40821.73,556048000
2016-02-05,40811.8,41248.75,40565.83,40592.09,366896096
2016-02-10,40592.09,40592.09,39960.18,40376.58,251966592
2016-02-11,40370.02,40370.02,38927.56,39318.3,379394688
2016-02-12,39324.24,39900.58,39324.24,39808.05,343070016
2016-02-15,39808.41,40671.42,39808.41,40092.89,174670704
2016-02-16,40093.26,41206.47,40074.23,40947.7,404244704
2016-02-17,40957.61,42436.44,40957.61,41630.82,547115776
2016-02-18,41623.94,41697.8,41183.4,41477.63,364414016
2016-02-19,41476.89,41827.97,41070.88,41543.41,340071104
2016-02-22,41544.38,43345.22,41544.38,43234.86,464785216
2016-02-23,43235.1,43601.33,42358.66,42520.94,392304800
